,Restaurant_Name,longitude,lattitude,rad_longi,rad_latit,e_distance,latlog
0,Kalyan Bhel,73.81836,18.50301,1.288335433,0.322928922,0.000528146,"18.50301,73.81836"
1,AV's Sandwich & Dabeli,73.81786,18.50257,1.288326707,0.322921243,0.000516608,"18.50257,73.81786"
2,Golden Dragon Chinese And Tandoor,73.81728,18.50256,1.288316584,0.322921068,0.000508176,"18.50256,73.81728"
3,WOW! China,73.82046,18.50373,1.288372084,0.322941488,0.000565576,"18.50373,73.82046"
4,Jayesh A1 Sandwiches,73.82054,18.50378,1.28837348,0.32294236,0.000567222,"18.50378,73.82054"
5,Beijing China,73.82062,18.50407,1.288374876,0.322947422,0.000571183,"18.50407,73.82062"
6,Cafe Moonlight,73.82101,18.50369,1.288381683,0.32294079,0.000573237,"18.50369,73.82101"
7,Moonlight Cafe,73.82101,18.50369,1.288381683,0.32294079,0.000573237,"18.50369,73.82101"
8,Moon Light Real Chinese Tandoor Point,73.82095,18.50404,1.288380636,0.322946898,0.000575694,"18.50404,73.82095"
9,Bindaas Bawarchi,73.81593,18.50162,1.288293023,0.322904662,0.000479465,"18.50162,73.81593"
10,Berozgar Bawarchi,73.81593,18.50162,1.288293023,0.322904662,0.000479465,"18.50162,73.81593"
11,Fish O Fish,73.81569,18.50175,1.288288834,0.322906931,0.000477348,"18.50175,73.81569"
12,Sumitra Restaurant,73.82115,18.50416,1.288384126,0.322948992,0.000579761,"18.50416,73.82115"
13,Sumitra Pure Veg,73.82115,18.50416,1.288384126,0.322948992,0.000579761,"18.50416,73.82115"
14,Scossa,73.82157,18.50321,1.288391456,0.322932412,0.000577047,"18.50321,73.82157"
15,Frozen Gelato,73.82163,18.50299,1.288392504,0.322928573,0.000575942,"18.50299,73.82163"
16,Sugran Swayampakghar,73.8161,18.50014,1.28829599,0.322878832,0.000467678,"18.50014,73.8161"
17,Brotarita,73.81665,18.50586,1.288305589,0.322978662,0.000534797,"18.50586,73.81665"
18,Mother's Kitchen,73.82177,18.50085,1.288394947,0.322891224,0.000559676,"18.50085,73.82177"
19,La Gustosa,73.81473,18.50209,1.288272079,0.322912865,0.000467358,"18.50209,73.81473"
20,The Oyster,73.81925,18.50652,1.288350966,0.322990181,0.000577106,"18.50652,73.81925"
